fellows should not perish M 332
fervent prayer for strength D 84
fertile plains and fields D 84
fertile ground for disease D 84
federal troops being called D 84
federal forces had gained D 84
federal building that housed D 84
federal courts had little D 83
federal income tax merely D 82
federal agency that serves D 82
federal grants for training D 60
federal judges are better D 58
femoral artery and distal D 50
fertile ground for theorizing D 49
fertile ground for policy D 48
federal income tax planning D 48
festering desire for revenge D 41
federal spending and budget D 40
