to twelve months imprisonment M 1387
to foster close relationships D 248
to remove social inequalities D 246
to better human relationships D 246
to manage large organizations D 244
to exempt labor organizations D 244
to various state legislatures D 242
to decide which organizations D 240
to arouse class consciousness D 238
to reduce water requirements D 234
to reduce total expenditures D 234
to accept court appointments D 230
to intern under international D 228
to building strong relationships D 228
to become nurse practitioners D 228
to assist local organizations D 228
to remove metal contaminants D 226
to obviate every circumstance D 224
to various local organizations D 222
to decide which expenditures D 221
to electing large partnerships D 220
to reduce rural unemployment D 218
to reduce local unemployment D 218
to measure social desirability D 218
to singular value decomposition D 214
to reduce social desirability D 212
to public housing developments D 212
to foster social relationships D 210
to various social organizations D 206
to employ civil disabilities D 206
to remove social disabilities D 202
to obtain lower temperatures D 202
to murmur words inexplicable D 202
to drinking water contaminants D 202
to decide about participation D 198
to equity funding shareholders D 196
to drinking water contamination D 196
to detain people indefinitely D 196
to remove civil disabilities D 194
to initial fluid resuscitation D 194
to online learning environments D 192
to affect social relationships D 190
to remove trace contaminants D 187
to normal social relationships D 186
to serious social consequences D 184
to remove legal disabilities D 184
to strive after righteousness D 182
to existing social relationships D 178
to decide which interventions D 177
to reduce skill requirements D 176
to warmer water temperatures D 174
to remove solid contaminants D 174
to reduce racial inequalities D 174
to assess learning disabilities D 172
to secure stock subscriptions D 170
to pursuing vital relationships D 170
to measure water temperatures D 170
to greater social participation D 168
to favour later performances D 168
to common stock shareholders D 168
to rebuke human consciousness D 166
to ensure rapid communication D 166
to secure equal participation D 164
to record phone conversations D 164
to building lasting relationships D 164
to cardiac rhythm disturbances D 161
to reduce naval expenditures D 160
to decide which configuration D 159
to reduce price differentials D 158
to differ quite substantially D 158
to closer working relationships D 158
to assess social desirability D 158
to greater labor productivity D 156
to govern social relationships D 156
to attend white universities D 156
to measure linear displacement D 154
to foster healthy relationships D 154
to ensure smooth communication D 154
to combat racial disadvantage D 154
to attend theater performances D 154
to accept rather uncritically D 154
to remove large particulates D 152
to bypass state legislatures D 152
to awaken social consciousness D 152
to attend opera performances D 152
to mediate social relationships D 150
to decide which relationships D 148
to insert every circumstance D 146
to greater group cohesiveness D 146
to adjust human relationships D 146
to widely varying temperatures D 144
to remain under international D 144
to remain liable notwithstanding D 144
to manage human relationships D 144
to pursue sound macroeconomic D 142
to various labor organizations D 140
to strive after independence D 140
to handle human relationships D 140
to secure local participation D 138
to reduce labor productivity D 138
to medium sized organizations D 138
to excite fresh disturbances D 136
to demand equal participation D 136
to charge false conspiracies D 136
to reduce water contamination D 134
to secure wider participation D 132
to reduce serum testosterone D 132
to public works expenditures D 132
to obtain exact quantitative D 132
to detect fecal contamination D 132
to accord equal consideration D 132
to incite slave insurrections D 131
to secure large appropriations D 130
to revise state constitutions D 130
to reduce power differentials D 130
to reduce costs dramatically D 130
to foster local participation D 130
to become fully acclimatized D 130
to assist local jurisdictions D 130
to render every circumstance D 128
to design would consequently D 128
to soviet naval developments D 126
to render fully intelligible D 126
to define human relationships D 126
to follow legal requirements D 124
to better social relationships D 124
to become major international D 124
to arouse social consciousness D 124
to middle class professionals D 122
to entail grave consequences D 122
to theorize about international D 120
to remove minor imperfections D 120
to handle social relationships D 120
to become truly revolutionary D 120
to strict legal requirements D 118
to reduce earnings differentials D 118
to reduce crime substantially D 118
to factor price differentials D 118
to existing legal requirements D 118
to widely varying trajectories D 116
to remove gross contaminants D 116
to assure broad participation D 116
to foster working relationships D 114
to detect learning disabilities D 114
to become fully enfranchised D 114
to assist labor organizations D 114
to various legal requirements D 112
to tackle racial disadvantage D 112
to render theirs inaccessible D 112
to defend small nationalities D 112
to become major shareholders D 112
to regard social relationships D 110
to reduce fecal contamination D 110
to nations whose intelligence D 110
to employ civil disobedience D 110
to obtain linear amplification D 108
to future action inconsistent D 108
to aortic valve incompetence D 108
to tackle social inequalities D 106
to obtain stock subscriptions D 106
to obtain linear relationships D 106
to decide which international D 106
to manage trust relationships D 104
to combat growing unemployment D 104
to almost every international D 104
to threaten fatal consequences D 102
to report grave conversations D 102
to ensure black participation D 102
to assess human requirements D 102
to affect labor productivity D 102
to supply world requirements D 100
to regions quite inaccessible D 100
to reducing social inequalities D 100
to reduce serum triglyceride D 100
to reduce cross contamination D 100
to building healthy relationships D 100
to active social participation D 100
to become fully acculturated D 98
to remain viable indefinitely D 96
to reduce opioid requirements D 96
to measure social participation D 96
to induce state legislatures D 96
to foster strong relationships D 96
to export goods manufactured D 96
to common sense understandings D 96
to reduce state participation D 94
to reduce adult unemployment D 94
to impose rigid requirements D 94
to attack enemy installations D 94
to states whose unemployment D 92
to reduce total unemployment D 92
to reduce speed considerably D 92
to punish every transgression D 92
to decide which experimental D 92
to various state organizations D 90
to measure group cohesiveness D 90
to higher working temperatures D 90
to greater social independence D 90
to foment civil disturbances D 90
to existing social inequalities D 90
to anyone would consequently D 90
to unique legal disabilities D 88
to supply goods manufactured D 88
to narrow skill differentials D 88
to existing state universities D 88
to decide which requirements D 88
to decide which predominates D 88
to attend elite universities D 88
to arouse vivid consciousness D 88
to remedy social inequalities D 86
to oppose every encroachment D 86
to normal cooking temperatures D 86
to insure equal participation D 86
to define social organizations D 86
to strike every unprejudiced D 84
to settle local difficulties D 84
to secure cross fertilization D 84
to revoke teaching certificates D 84
to reduce voter participation D 84
to record daily temperatures D 84
to invest mount independence D 84
to impose legal requirements D 84
to ensure group cohesiveness D 84
to defend vital installations D 84
to become truly multinational D 84
to become state functionaries D 84
to slowly changing environments D 82
to reduce human relationships D 82
to recent legal developments D 82
to measure water transparency D 82
to higher social requirements D 82
to various legal disabilities D 80
to strive after intellectual D 80
to purely social organizations D 80
to offset price differentials D 80
to normal either spontaneously D 80
to normal daily requirements D 80
to measure serum electrolytes D 80
to insure black participation D 80
to excite grave apprehensions D 80
to detect rhythm disturbances D 80
