credit for child care M 1937
crises for which there M 112
credit for helping their M 112
crisis was winding down M 111
crimes for which even M 111
cracking may occur during M 111
crowds who could feel M 110
crimes and vices were M 110
credit was drawn upon M 110
credit for first giving M 110
credit for anything like M 110
credit are taken into M 110
credit that could have M 108
created being could ever M 108
created and spread among M 108
crisis has grown more M 106
credit for keeping down M 106
created that could have M 106
created and built into M 106
credit she might have M 105
critic who knows nothing M 104
critic for thirty years M 104
crisis had begun when M 104
credit for passing these M 104
created who shall know M 104
created and given their M 104
crossing that river into M 102
crisis that could well M 102
crimes for which only M 102
credit they might give M 102
credit for turning back M 102
credit for state gift M 102
credit for speaking from M 102
credit for putting into M 102
creation was based upon M 102
created with roots like M 102
created things exist only M 102
credit and under what M 101
crucial for entry into M 100
credit you shall give M 100
credit they might have M 100
credit for every time M 100
credit for anything done M 100
creates and gives meaning M 100
crowds going about their M 98
crisis they might have M 98
credit has since been M 98
credit for every hour M 98
creation has given rise M 98
created and exist only M 98
created and added into M 98
crawling and getting into M 98
crises may occur when M 96
crises may occur during M 96
crimes was drawn forth M 96
credit and short term M 96
created that might have M 96
created bad feeling among M 96
created and where there M 96
crisis that broke upon M 94
crisis and which have M 94
crises and world wars M 94
crimes for which other M 94
credit for meeting their M 94
credit for every item M 94
credit being given only M 94
creation was taken from M 94
created with tools such M 94
cracks may occur during M 94
crucial than anything else M 92
critic was right when M 92
credit has given rise M 92
credit for helping make M 92
credit for every word M 92
credit for eight years M 92
credit for creating such M 92
creates ten times more M 92
creates new forms from M 92
created new wants among M 92
created his first great M 92
cracks are often seen M 92
created things which have M 91
crucial for human well M 90
crisis was still ahead M 90
crisis may arise from M 90
crisis and again during M 90
crimes are often more M 90
created with money from M 90
crisis that gives rise M 88
crisis may never come M 88
credit for thirty years M 88
credit for holding back M 88
created one night when M 88
created for sixty years M 88
crucial and vital role M 86
critic who first made M 86
critic has often been M 86
crisis that spread from M 86
crisis that comes when M 86
crimes can never hide M 86
credit and enter into M 86
critic than anything else M 85
critic for forty years M 84
crisis that calls into M 84
crisis has given birth M 84
crisis had really come M 84
crises may arise from M 84
crimes that could only M 84
crimes had drawn down M 84
credit and might have M 84
creator has never left M 84
creation that might have M 84
creation lay aside their M 84
creation are taken into M 84
creates and gives rise M 84
creates all human beings M 84
created being comes from M 84
created and given form M 84
critic who could find M 82
crisis was ended when M 82
creation and every walk M 82
created his major work M 82
cracks and holes from M 82
crucial for world peace M 81
crisis was growing more M 80
credit for creating some M 80
creator has never been M 80
created and which made M 80
created and given full M 80
created near panic among M 66
credit for knowing much M 58
cracking and breaking away M 52
crowds that gather there M 49
credit for anything else M 49
creation and still more M 46
critic who makes such M 45
credit for slowing down M 44
credit for knowing your M 44
cracking and breaking down M 44
cracking may occur when M 43
credit for rather more M 42
credit for joint work M 42
credit for holding down M 42
cracking can occur when M 41
crisis than anything else M 40
credit for taxes paid D 10960
credit and debit card D 3360
credit and savings bank D 2594
creamer and sugar bowl D 1523
crisis that would have D 1382
credit that would have D 1008
crimes that would have D 892
credit for wages paid D 722
creaked with every step D 626
credit and debit side D 580
crises that would have D 566
crossing one ankle over D 545
crisis was tided over D 526
created that would have D 518
crates and boxes were D 504
crisis they would have D 502
creeks that empty into D 499
critic who would have D 426
crests are blown into D 420
crumbs that might fall D 408
crisis that would make D 398
crouch and cower like D 386
crutch and right foot D 375
credit and loans from D 366
crisis and would have D 350
crisis that would soon D 340
created that would make D 326
cradle and leaned back D 290
credit and loans were D 284
creation and flood myths D 272
creeks and pools among D 270
cruising off sandy hook D 266
crisis that would last D 266
cracks and falls away D 259
crowding too close upon D 258
creation that would have D 258
crowds that would have D 238
crowds that would come D 232
credit and would have D 220
credit for goods sold D 212
created with funding from D 208
crumbs that might have D 202
credit for first bringing D 201
crafts and trade were D 196
crates and boxes from D 190
crowding out every other D 188
credit they would have D 188
crazed with grief over D 188
crusts and railing upon D 186
crushing this party among D 186
crushing them under their D 184
crimes they would have D 184
crimes that would make D 180
crowds that swarm upon D 176
crooking and winding among D 176
created with funds from D 176
crashing his plane into D 176
credit than would have D 174
credit and never paid D 174
crisis that would come D 172
crushing them under foot D 162
crushing his nails into D 160
creeds and races were D 160
creased her smooth brow D 160
cranes are often used D 160
credit they would give D 156
crawling and twining like D 154
crowns and harps from D 152
critic who would make D 152
creation that springs from D 152
created things would have D 152
cradling his right hand D 152
crashing ice shall make D 148
critic who would like D 146
crisis had swept away D 146
creeping things which have D 146
created and would have D 146
cramps that occur during D 146
cracking his fingers like D 146
cranny they could find D 144
cranes for lifting heavy D 143
creeks and small bays D 142
critic was preying upon D 138
creeks and river beds D 138
cravat and smiling down D 138
crashing head first into D 138
cracks with fresh clay D 138
crowds who would have D 136
credit for money paid D 136
created that would give D 136
crates and boxes into D 136
cradle had never been D 136
crawling and twining their D 134
creation than anything pope D 132
craned our necks over D 132
cruise that would take D 130
created and swept away D 130
crisis was brewing over D 129
created being would have D 128
craven had never made D 128
creeks that drain into D 126
crushing them beneath their D 122
credit for small farm D 122
crowns had never been D 120
critic who would deny D 120
creeping air takes form D 120
cracks his jokes upon D 120
credit you would have D 119
creeds you liked best D 118
crushing them still more D 115
crisis that would give D 114
creation and would have D 114
crashing and roaring forth D 114
crisis and would soon D 112
credit that would make D 112
crossing his ankle over D 110
crisis that would take D 110
crisis that swept over D 110
created that would take D 110
crafts for which there D 108
crisis with china over D 106
created that would help D 106
cramps and lower back D 106
cradle and bends over D 106
crushing his right hand D 104
creeping things after their D 102
credit that would help D 102
craggy and steep ways D 102
crumbs that would fall D 100
cruise off sandy hook D 100
crimes and would have D 100
cradle and stood there D 100
crowds that would soon D 98
crossing that would take D 98
cramming his hands into D 98
cracking his skull open D 98
cropping out lower down D 96
critic and author john D 96
credit for rural areas D 96
created than would have D 96
cranks and slide bars D 94
cracks and peels away D 94
crowns and wield their D 92
crouch all night over D 92
crushing his skull like D 90
crisis that would leave D 90
creates each human soul D 90
cranial and facial hair D 90
crowds who would come D 88
crisis that would test D 88
credit that would give D 88
creation was thrown into D 88
crowns for every foot D 86
crowns and robes were D 86
crowding and pushing their D 86
crossing his short legs D 86
created far fewer jobs D 86
crater was blown away D 86
cramps may occur during D 86
critic who would dare D 84
crisis with japan over D 84
cradle for cutting wheat D 84
crisis was looming over D 82
credit but never paid D 82
crashing and roaring pine D 82
crafty man would have D 82
cracks that would have D 82
crushing him beneath their D 80
cruder and baser ways D 80
crossing and curving among D 80
crisis that would rock D 80
creeks with names like D 80
credit for setting forth D 80
created you mixed gold D 80
cracks and falls into D 46
crater was about half D 43
crumbs they could find D 42
crowds that flock here D 41
crossing that would have D 40
