died in middle life M 2606
died it seemed like M 82
died in prison five M 82
died in little time M 82
died in battle have M 82
died of violent deaths M 80
dies no matter what M 52
died of cancer when D 5624
disk or floppy disk D 2588
diet of animal food D 2014
died in recent years D 1818
disc or former disc D 1770
dish of boiled rice D 1372
disk to another disk D 1342
died of cancer last D 1152
died in little rock D 1076
died in jersey city D 1032
died of cancer three D 1000
died of cancer just D 926
died at little rock D 732
disk or folder icon D 730
died of cancer during D 700
died at bunker hill D 666
died in police firing D 655
dish of boiled beef D 644
dirt is washed away D 614
diary of timothy ford D 592
diet of boiled rice D 570
died of typhus during D 556
diet on weight loss D 552
dish is placed upon D 546
died of cancer four D 538
diary of events from D 537
died of cancer five D 534
died in office during D 456
died in prison camp D 454
dish of stewed beef D 430
died of cancer some D 418
diet or weight loss D 408
dialing an access code D 406
died in chapel hill D 384
died of cancer only D 381
died of cancer soon D 380
dish of cooked rice D 368
dirt or gravel road D 352
dish of stewed eels D 350
dike of igneous rock D 346
died in droves from D 344
died in office from D 332
dish of boiled corn D 326
died of scurvy during D 326
died in silver spring D 316
dish of cooked food D 312
diet in recent years D 308
disc is placed over D 304
diet is changed from D 304
diary to record your D 294
dive at random into D 280
disk is almost full D 266
dish of boiled wheat D 266
diet of corned beef D 266
diary of events during D 262
diet of canned food D 260
diet of rolled oats D 254
died of plague during D 248
died of malaria during D 244
died of famine during D 242
died by inches from D 242
diet of tinned food D 240
disk or another disk D 238
died at jersey city D 230
diet to reduce your D 228
died of cancer aged D 227
diet of boiled milk D 226
disk is placed into D 222
dirt or debris from D 218
died of typhus when D 218
disk as viewed from D 216
diary to record their D 215
dish of stewed carp D 214
disk to accept data D 210
died at chapel hill D 208
disk is loaded into D 204
dish of corned beef D 204
died in office were D 204
dive so deeply into D 200
disk or memory card D 200
dish is placed over D 199
dine in another room D 199
dish is served cold D 196
died of cancer from D 196
dish of boiled beans D 194
died on french soil D 194
dirt is washed from D 192
died in winter park D 192
disk is placed over D 190
diet to reduce their D 190
digs the golden mine D 188
diet of little more D 186
died of malaria when D 184
died of cancer were D 184
dish the ladies call D 182
dish of scalding broth D 182
dims the bright page D 182
dish of salted nuts D 180
dirt is ground into D 180
diet on weight gain D 180
diet in liquid form D 180
died of measles when D 180
died of sickle cell D 174
died of cancer early D 172
dish or wooden bowl D 170
died in august last D 170
diet of coarse bread D 166
died in bloody snow D 164
disk or system disk D 162
dish of boiled fish D 162
died of cancer less D 157
disk of golden fire D 156
disk to another hard D 154
died of cancer years D 154
disk of future years D 152
dish of boiled eggs D 152
diary to record what D 152
diet of cooked food D 150
died in places like D 150
dialing the number from D 148
diet is becoming more D 145
died of cancer over D 144
diet of boiled eggs D 142
diet of barley bread D 142
dice is rolled once D 142
diode is widely used D 140
dint of drinking acid D 140
disk to floppy disk D 138
dint of future care D 138
diet of salted meats D 138
diet of simple food D 136
diet of boiled beef D 136
died in office just D 136
disc of copper foil D 135
disk or spiral arms D 134
dish of coarse salt D 134
dirt is cleared away D 134
diet by allowing unto D 134
died of measles during D 132
diet in various ways D 130
dies by poison from D 130
died of cancer many D 130
diary is little more D 128
died of yellow jack D 126
dialing the number when D 126
dish or gratin dish D 125
dish of french beans D 124
diet of boiled fish D 124
diet of frozen fish D 121
dish of boiled pork D 120
disc is placed into D 120
dint of studying maps D 120
died of rabies from D 120
dining or family room D 119
diet no matter what D 119
dish of choice game D 118
died of plague when D 118
disk at commit time D 116
disc is forced into D 116
diet by gathering wild D 116
dies in blooming years D 114
died at silver spring D 114
died on bunker hill D 112
died of cancer nine D 112
disc is clearly seen D 110
died of typhus there D 110
diode the tunnel diode D 108
diet on cancer risk D 108
died of sepsis during D 108
died at winter park D 108
dish of boiled fowl D 106
disc is played back D 106
dish of yellow rice D 104
disc is driven from D 104
diode is formed from D 104
diode is driven from D 104
died of police firing D 104
disc is placed upon D 102
diet of watery soup D 102
dials an access code D 102
died in office there D 101
dish of stewed beans D 100
dint of watching your D 100
digs up yellow dirt D 100
died of plague were D 100
died of famine were D 100
died by scores from D 100
died by famine only D 100
dish of kidney beans D 98
dish is almost full D 98
dirt on something just D 98
diode is formed when D 98
diet of female rats D 98
died in uremic coma D 98
died by drinking some D 98
disc is turned over D 97
died of cancer there D 95
diving so deeply into D 94
diet of yellow corn D 94
diet of cooked rice D 94
diet in costly meats D 94
died in flight from D 94
dining at someone else D 92
diet of larger fish D 92
disk is formed from D 90
diet of almost pure D 90
diary of events kept D 90
diet is fairly well D 89
died of malaria there D 89
disk the floppy disk D 88
diode is driven into D 88
died of plague soon D 88
died in office less D 88
disk is copied onto D 86
disk is broken into D 86
died or lapsed into D 86
died of malaria three D 86
died of cancer more D 86
disk on another disk D 84
dish of minced beef D 84
dish of creamed eggs D 84
dining in another room D 84
diet of peoples living D 84
diet of marine algae D 84
diet of coarse food D 84
died of typhus just D 84
dish of steamed rice D 82
died to bestow upon D 82
died in office only D 82
died in office early D 82
dish of salted fish D 80
disc is loaded into D 80
dint of dwelling upon D 80
dime of profit from D 80
died of malaria just D 80
diary of events leading D 80
dials to measure time D 80
diet is broken down D 70
diet is mainly fish D 61
diary he jotted down D 58
dining or buffet cars D 51
dirt is washed down D 45
diet of little else D 45
disk no matter what D 43
