dimly if at all M 1281
ditch as it was D 130
dined at the dean D 130
diets of the low D 130
digging up the mud D 129
dived to the earth D 128
ditty of the real D 128
dishing up the old D 128
dirge on me for D 128
dirge of the old D 128
dirty in the way D 126
digit in the year D 126
digging in the box D 126
diadem on my head D 126
discs in the sky D 124
dined by the way D 124
dirty as the one D 123
dived in on top D 122
dined in the long D 122
diets at the end D 122
dizzy on the way D 121
discs of the year D 121
digging in the new D 121
ditch up to his D 120
digit of the top D 120
diadem of the kings D 120
dirty by the end D 118
dirty as to his D 118
dined at an old D 118
digging in as she D 118
dives to the earth D 117
dines at an eating D 117
dirty or in any D 116
dirty as the old D 116
digging in to his D 116
dioxin in the air D 115
dined at an eating D 115
disks in the air D 112
dicta in the two D 112
digging in my bag D 111
dishing up the meal D 110
dined at my inn D 110
digit in the row D 110
digging in the ice D 110
dikes on the red D 108
digit of the zip D 108
dicta of the two D 107
ditch so as not D 106
dined at the long D 106
ditty of the old D 104
discs of the rod D 104
dipping it in her D 104
dimming of the old D 104
digging as if for D 104
diets in the long D 104
ditch to the rear D 103
dipping at the end D 103
dikes at the top D 102
digging in the yet D 102
dieting at the age D 102
dived at me and D 100
digit of an area D 100
digging on the east D 100
digging of the big D 100
ditch on the off D 99
discs on the end D 98
dipping in it one D 98
digging at the top D 98
digging at the far D 98
diets of the men D 98
dipping in the air D 97
dimer of the two D 97
dizzy in the odd D 96
dined at my own D 96
dikes of the area D 96
digit to the sum D 96
digging up the new D 96
ditty to be sung D 94
dirty thing it was D 94
dirty as if she D 94
dirge at the death D 94
dined so do they D 94
dikes on the east D 94
digit is the leaf D 94
digging up of earth D 94
digging in the low D 93
dived at it and D 92
dined at the big D 92
dicta in the year D 92
disks in the two D 91
ditch in the mud D 90
discs in the air D 90
dipping of the rod D 90
dipping in the vat D 90
digging up of this D 90
digging in to her D 90
dicta as if they D 90
dicey in the law D 90
dirty as the man D 88
dined in an old D 88
dimly in my ears D 88
digit in the area D 88
digging in the long D 88
diadem is on her D 88
digging up of one D 87
digging as it was D 87
dirty on me and D 86
dipping in the sky D 86
digging of the two D 86
dizzy as he had D 84
dipping it in red D 84
dined on the east D 84
dialed in the new D 84
divvy up the pie D 83
dived in the bay D 82
ditty to an end D 82
disks to be read D 82
discs in the rod D 82
dined on the cod D 82
digging in on its D 82
digging in as they D 82
dicta in the new D 81
ditty on the day D 80
dirge on the way D 80
digit in the zip D 80
digging in it and D 80
diver of the year D 73
dikes in the red D 71
dipping of an oar D 66
dizzy at the top D 63
digit on the top D 63
digit on the far D 57
digit in the two D 55
dived in to try D 54
disco on the top D 52
diets in the mid D 49
disks on the top D 48
discs in the set D 48
dirty in the day D 48
dipping in the dye D 47
digging in the rear D 47
discs on the top D 43
diadem of the sun D 43
dizzy in the sun D 42
dipping in the ink D 42
dirty as the mud D 41
dipping in an oil D 41
