bright legacy one half M 2675
broken shells and sand D 215
brushing across his face D 214
bridge building and road D 214
breeze cooled his face D 214
breeze across his face D 214
bronze statue was cast D 212
bronze plaque has been D 206
broken houses with their D 204
bridge street and high D 204
broken bricks and other D 199
bronze lancet and save D 198
bridal bowers with rows D 198
breathes through her nose D 198
branch sticking out from D 198
broken through that wall D 196
briefing session was held D 196
breeze caress her face D 195
bright yellow and gold D 194
bridge station new york D 192
breaker points are open D 187
breeze ruffle his hair D 184
breeding colony has been D 184
brutal bosses and their D 183
bronze statue had been D 180
broken plates and food D 180
breeding horses and dogs D 177
broken dagger and book D 176
brandy bottle was soon D 176
breathes through its nose D 174
branch office had been D 174
breeze fanned her face D 173
bright silver and gold D 172
breezy autumn day when D 172
breeding ground for fungi D 172
broken scraps for holy D 170
broken arches and rent D 170
breeze stirring her hair D 170
bridge across our fears D 168
breeze across her face D 168
brutal attack was made D 166
bronze plaque had been D 164
breeze tossed her hair D 164
breeze through her hair D 162
breeding ground for bugs D 159
bronze tablet set into D 158
breeze cooled her face D 158
brother raised his finger D 156
bridge itself has been D 156
broken plates and cups D 155
broken bricks and bits D 155
branch withers and dies D 154
bridge across this gulf D 153
bruise around her left D 150
bright cheery day soon D 150
broken through this wall D 148
broken stones and sand D 148
bridge design has been D 148
bronze weapons had been D 147
briefing papers and other D 144
breathed repose and peace D 144
brazen tripod out into D 144
broken ghosts with glow D 140
bright crocus and blue D 140
bridge should not have D 140
brandy bottle had been D 140
brushing through her hair D 137
brutal murder has been D 136
broken branch and threw D 136
breasts lifted and fell D 136
broken chairs and other D 135
bruising around her neck D 134
brooks should run wine D 134
bronze statue was made D 134
bronze plaque that reads D 134
breeding ground for lice D 133
bridge without our care D 130
breasts before and during D 130
bronze plated with gold D 129
bronze weapons and other D 128
bridge across that gulf D 128
breeds faster than those D 128
breathes through this tube D 126
bridge building has been D 123
bright colors and flat D 122
breeze cooled her skin D 122
brushing across her skin D 120
breeze stirring his hair D 120
breeze fanned her hair D 120
brushing across her lips D 119
brutal methods that were D 118
bright lights and tall D 116
breathed through her teeth D 114
braids behind her back D 114
brother reached new york D 112
brother martin had been D 112
broken stakes for their D 112
bridal couple had been D 112
breathes through its lungs D 112
brooks school for boys D 110
bridge without being seen D 110
bridal flanks and eyes D 110
breasts dripping with milk D 110
bright without but foul D 108
bridge dotted with foot D 108
breeding biology and early D 107
broken planks and waving D 106
brewed coffee and frying D 106
breeze ruffling his dark D 106
breeze caress his face D 106
bridge before they were D 105
breeding places for fish D 105
brother timothy hath been D 104
bright yellow and pale D 104
breeze whipping her hair D 104
breeding ground for gangs D 102
breeding ground for drug D 102
breeding cattle and other D 101
bridge across new york D 100
breasts bursting with milk D 100
braced myself and took D 100
brutal murder and rape D 99
branch houses all over D 99
bronze tablet let into D 98
broken pebble has been D 98
broken cliffs and airy D 98
bridge before you reach D 98
branch lopped off from D 98
brother timothy had been D 96
brother martin has been D 96
bright shield was seen D 96
breeding ground for fleas D 96
breeding ground for dust D 96
branch depots but also D 96
bruise around his left D 94
brother tribes and draw D 94
breeding ground for yeast D 94
brutal attack had been D 92
bridle around his neck D 92
braced myself for their D 92
bronze alloys are used D 91
brother opened his lips D 90
breeze played with their D 90
breasts through her gown D 90
bridge building had been D 89
bright silver cup slung D 88
bright cheeks and eyes D 88
brandy bottle and took D 88
brawny calves they have D 87
bragging rights that come D 87
brutal methods are used D 86
bronze medals for their D 86
braced itself for what D 86
bronze swords and axes D 84
bronze sought out from D 84
broken stones had been D 84
breeze struck his face D 84
breeding ground for seals D 84
braids around her finger D 84
braced myself and told D 84
breeding ground for algae D 83
bronze tablet had been D 82
bronze chariot with four D 82
bright cherry red when D 82
branch office may have D 82
bronze plaque that said D 80
broker should not have D 80
broken stones and clay D 80
bright worlds and suns D 80
bridge rested had been D 80
breasts across his face D 80
brands before you find D 80
branch sticking out over D 80
broken ankles and legs D 54
breeding places for some D 52
bruising around his eyes D 51
brazed joints are used D 50
bragging rights for having D 48
breeding places and food D 47
bruising around her eyes D 45
bright purple and pink D 44
brother struck him down D 43
bronze weapons and gold D 43
breeding biology has been D 42
broken bricks and dust D 41
broken stones and lime D 40
breeding cattle and hogs D 40
