mixtures containing not more M 186
military conflict had been D 130
military alliances with great D 130
military alliances and arms D 130
minority students are most D 128
military planners who were D 128
military operation was ever D 128
military officers who will D 128
military expenses had been D 128
military expansion has been D 128
military conquest but also D 128
minister insisted that there D 126
military services but also D 126
military hospital has been D 126
military alliances with their D 126
migraine headaches that were D 125
military veterans who have D 124
military generals who were D 124
military alliances that have D 124
minority children who live D 123
military struggle had been D 122
military strategy was also D 122
military services for their D 122
military pressure had been D 122
military barracks had been D 122
minority carriers per unit D 120
military uniforms with their D 120
military officers who used D 120
military functions had been D 120
military disguise was very D 120
military relations with these D 118
military recruits who were D 118
military potential has been D 118
military officers and from D 118
military alliances had been D 118
military advisors and their D 118
migration patterns are also D 118
migraine patients who were D 118
military authority may make D 117
miscible solvents are used D 116
minority languages are also D 116
military manpower has been D 116
military decisions that were D 116
migration patterns and other D 116
minority students who need D 114
minority carriers and their D 114
military struggle has been D 114
military strategy and their D 114
military situation and were D 114
military planners may have D 114
military alliances with these D 114
military strategy that will D 112
military services with their D 112
military advisers and even D 111
mistress whenever she went D 110
minerals produced and sold D 110
military officers who also D 110
military manpower had been D 110
military governor has been D 110
military contingent had been D 110
military companion had left D 110
military purposes and only D 109
minority interest has been D 108
minerals essential for health D 108
military reprisal and other D 108
military operation that will D 108
military officers had come D 108
military capacity but also D 108
military services due from D 106
military officers who went D 106
military officers are said D 106
military families who have D 106
military capacity and their D 106
minority students for their D 105
military conflict was over D 105
migration involves not only D 105
military situation was even D 104
military relations and their D 104
military presence but also D 104
military officers and most D 104
military advisors and other D 104
military advisers and some D 104
minority patients are less D 103
migration patterns that were D 103
military uniforms that were D 102
military tribunal for having D 102
military strategy and even D 102
military situation was grim D 102
military situation may have D 102
military relations had been D 102
military commands and their D 102
military alliances but also D 102
migration accounts for only D 102
minority students are much D 101
minority students who plan D 100
minister resigned his post D 100
minimize conflict with other D 100
minerals essential for life D 100
military purposes and there D 100
military disaster had been D 100
minority cultures has been D 98
military uniforms had been D 98
military situation for many D 98
military purposes they were D 98
military officials and some D 98
minority students not only D 96
military students who were D 96
military strategy and other D 96
military movement was made D 96
military exploits had made D 96
military exploits but also D 96
military activity but also D 96
military activity and their D 96
mitigating evidence has been D 95
minority religions and their D 94
minority patients and their D 94
minority cultures that have D 94
military situation was made D 94
military policies that have D 94
military officials may have D 94
military governor was sent D 94
military exploits and their D 94
minister mentioned that there D 92
military relations with north D 92
military problems that have D 92
military officers but those D 92
military elements who were D 92
military contingent was sent D 92
military alliances with some D 92
military situation was well D 91
minority families has been D 90
minister reported that there D 90
military services and those D 90
military officers that their D 90
military formation and were D 90
microbial pathogens has been D 90
military conflict with great D 89
minority students may feel D 88
minority languages had been D 88
military struggle was over D 88
military struggle but also D 88
military policies that were D 88
military officers who rose D 88
military interest had been D 88
minority students and have D 87
ministry officials and their D 86
minister invested with full D 86
military trophies and other D 86
military response had been D 86
military presence all over D 86
military planners who have D 86
military officials who made D 86
military machines that were D 86
military hardware and know D 86
military generals and their D 86
military alliances has been D 86
militant students who were D 86
military supplies and even D 85
military situation was most D 85
military aircraft and there D 85
minority citizens are from D 84
minister remarked that there D 84
military supplies has been D 84
military situation and their D 84
military situation and made D 84
military practice and theory D 84
military positions and their D 84
military conquest and rule D 84
minority families are less D 83
migration movement has been D 83
military tribunal for their D 82
military tribunal and were D 82
military situation not only D 82
military purposes for many D 82
military purposes and have D 82
military pressure has been D 82
military presence and role D 82
military officials for their D 82
military officers not only D 82
military governor and other D 82
military cemetery and sold D 82
minority families are also D 80
military supplies and their D 80
military policies had been D 80
military planners had come D 80
military officers who hold D 80
military expenses for some D 80
military expansion had been D 80
military aircraft and also D 80
migraine headaches for years D 65
migraine headaches for many D 58
migraine headaches and high D 55
military operation was over D 47
migraine headaches may have D 47
military alliances with more D 46
minority students that were D 44
military alliances with south D 43
migraine headaches may also D 42
