during or immediately after M 45882
dull at apprehending irony D 156
during the unoccupied period D 154
during the sacrificial rites D 154
during the inhibitory phase D 154
during the enrollment phase D 154
during the postmodern period D 152
during the outpatient phase D 152
during the liquidation phase D 152
during the cultivation phase D 152
during the transaction period D 151
during the sleepwalking scene D 150
during the segregation period D 150
during the operational cycle D 150
during the negotiations period D 150
during the turnaround period D 148
during the subsequent rapid D 148
during the designated hours D 148
during the dehydration period D 146
during the calibration stage D 146
during the restitution phase D 144
during the compression molding D 144
during the aggregation stage D 144
during the unoccupied hours D 142
during the respective times D 142
during the oppressive reign D 142
during the deployment stage D 142
during the calamitous morning D 142
during an electrical power D 142
during the refinement phase D 140
during an oscillation cycle D 140
during the calibration tests D 139
during the subsequent court D 138
during the spontaneous breaths D 138
during the vegetative state D 136
during the postpartum phase D 136
duty of transmitting human D 132
during the territorial phase D 132
during the retirement which D 132
during the republican times D 132
during the laboratory study D 132
during the generative phase D 132
during the evaporation period D 132
during the autonomous period D 130
during the remarkable scene D 128
during the procreative period D 128
during the housebreaking period D 128
during the dictatorial period D 128
during the arbitration phase D 128
during the weightless state D 126
during the repatriation period D 126
during the persecution after D 126
during the perpetuity period D 126
during the experiment since D 126
during the excitement ensuing D 126
during the proscribed period D 124
during the arbitration hearings D 124
during the subsequent boiling D 123
during the orientation meeting D 123
during the handicraft period D 122
during the contraction stage D 122
during the transitory stage D 120
during the subsequent march D 120
during the retrograde period D 120
during the retirement phase D 120
during the restitution period D 120
during the refinement stage D 120
during the protracted reign D 120
during the mechanical working D 120
during the fabrication stage D 120
during the degradation phase D 120
during the conference season D 120
during the antecedent period D 120
duty of promulgating rules D 118
during the subsequent etching D 118
during the stipulated hours D 118
during the extensional phase D 118
during the depressive stage D 118
during the obligatory period D 116
during the inquisition period D 116
during the experiment might D 116
during the colonialist period D 116
during the subsequent rainy D 115
during the intestinal stage D 115
during the settlement season D 114
during the militarist period D 114
during the transplant period D 112
during the interviews really D 112
during the interviewing stage D 112
during the protracted meeting D 110
during the monotonous hours D 110
during an experiment where D 110
during the arbitration period D 109
during the preemptive stage D 108
during the negotiations phase D 108
during the logarithmic period D 108
during the conciliation stage D 108
during the tumultuous hurry D 106
during the retirement stage D 106
during the reclamation period D 106
during the promotional stage D 106
during the freshwater stage D 106
during the breakthrough phase D 106
during the weightless period D 104
during the subsequent rolling D 104
during the negotiations could D 104
during the excavations under D 104
during the capitalist phase D 104
during the witchcraft craze D 102
during the profligate reign D 102
during the fashionable hours D 102
during the experiment ranged D 102
during the capitalist stage D 102
during an operational period D 102
during the tremendous gales D 100
during the spontaneous decay D 100
during the residential phase D 100
during the repressive reign D 100
during the relatively slack D 100
during the fabrication phase D 100
during the equinoctial tides D 100
during the depressive period D 100
during the watermelon season D 98
during the switchover period D 98
during the prescribed season D 98
during the phenomenal growth D 98
during the mechanical tests D 98
during the examination would D 98
during the crucifixion scene D 98
during the conference where D 98
during the commonwealth under D 98
during the cataleptic state D 98
during the altercation which D 98
duty of confidence would D 96
during the literature epoch D 96
during the conference shays D 96
during the postpartum weeks D 94
during the interviews would D 94
during the evaporation phase D 94
during the beneficent reign D 94
during the appreciable period D 94
duty on importation which D 92
during the penitential period D 92
during the liturgical season D 92
during the fabrication cycle D 92
during the experiment shown D 92
during the experiment after D 92
during the desiccation phase D 92
during the depositions taken D 92
during the democratic phase D 92
during an equinoctial storm D 92
during the regressive stage D 90
during the experiment gives D 90
during the dehydration stage D 90
during the twelvemonth which D 88
during the tournament season D 88
during the reformation which D 88
during the humanistic period D 88
during the contraction which D 88
during the acquisition cycle D 88
dues or membership cards D 88
during the ventilation cycle D 86
during the tyrannical times D 86
during the successful siege D 86
during the subsequent anneal D 86
during the stimulation stage D 86
during the protestant reign D 86
during the disastrous siege D 86
duty is intimately bound D 84
during the negotiations might D 84
during the tumultuous final D 82
during the contracted space D 80
