honour seem but pleased M 612
hovering over and settling D 88
houses were being rented D 88
horses were now standing D 88
horses over and assist D 88
horses from his sacred D 88
hooked nose and sunken D 88
hollow just big enough D 88
hovering over his master D 86
horses ready for flight D 86
honors during her career D 86
houses like this before D 85
horses pawing and snorting D 85
houses were then called D 84
houses were being broken D 84
horses were not common D 84
horses from his brother D 84
hollow eyes that looked D 84
horses were led around D 83
houses will not permit D 82
houses were not needed D 82
horses were being worked D 82
honest sale and honest D 82
houses were being sacked D 80
horses used for breeding D 74
houses here are better D 58
horses were lying around D 44
