on following page figure M 6224
on several crop plants D 174
on receiving some estate D 174
on imports from dollar D 168
on girlish heads wreathed D 168
on everything from nuclear D 168
on colonial mining policy D 168
on floured baking sheets D 166
on federal work relief D 166
on unsteady legs toward D 164
on headline news almost D 164
on capitol hill became D 164
on hormone free medium D 163
on rational drug design D 160
on features less purged D 160
on maximum shear stress D 157
on medical care spending D 156
on imports were lifted D 156
on foreign soil before D 155
on smaller length scales D 154
on errands fast asleep D 154
on graphic rating scales D 153
on general wage levels D 152
on certain crop plants D 152
on average test scores D 152
on everything from coffee D 151
on improving their status D 150
on holiday from boarding D 149
on several rating scales D 148
on reviewing their forces D 148
on minimum wage levels D 148
on foreign bond issues D 147
on improving reading skills D 146
on observing some troops D 144
on vacation during august D 142
on capitol hill lobbying D 142
on adverse drug events D 142
on applied time series D 138
on several task forces D 137
on private land holdings D 136
on improving these skills D 132
on vacation from boarding D 130
on inserting these values D 130
on everything from hotels D 130
on somatic cell counts D 128
on several other places D 128
on northern great plains D 128
on foreign cloth without D 128
on federal land policy D 128
on grounds much firmer D 126
on capitol hill called D 126
on capitol hill wanted D 124
on smaller time scales D 123
on returning from dinner D 122
on radical land reform D 122
on foreign soil should D 122
on excised burn wounds D 122
on central heating plants D 122
on everything from shopping D 120
on somatic cell nuclear D 118
on capitol hill should D 118
on several other rivers D 116
on research into nuclear D 116
on central park avenue D 116
on current news topics D 114
on medical poor relief D 113
on average five inches D 112
on imports from allied D 111
on several reading levels D 110
on plastic milk crates D 110
on average crop yields D 110
on national health survey D 108
on errands into strange D 108
on shorter length scales D 107
on seasonal wage labour D 106
on mercury from dental D 106
on improving crop yields D 106
on holiday last summer D 106
on chronic oral therapy D 106
on charred tree trunks D 106
on foreign soil fighting D 105
on several other metals D 104
on several other scales D 102
on revenue from import D 102
on federal land without D 102
on beholding these goodly D 102
on national health spending D 101
on foreign food supply D 101
on sketching from nature D 100
on plastic lawn chairs D 100
on everything from office D 100
on everything from atomic D 100
on colonial land policy D 100
on several early drafts D 96
on nucleic acid probes D 96
on language arts skills D 96
on federal land grants D 96
on everything from toilet D 96
on refined flow modeling D 94
on neonatal birth weight D 94
on examining these curves D 94
on everything from income D 94
on several very striking D 92
on returning down stairs D 92
on reports from agents D 92
on national health issues D 92
on foreign post nights D 92
on differing time scales D 92
on national park trails D 91
on sleighs when unable D 90
on alveolar bone height D 90
on imports from various D 88
on foreign soil except D 88
on adjoining land belonging D 88
on circuit from county D 86
on receiving their arrears D 84
on improving those skills D 84
on holiday from oxford D 84
on federal health policy D 84
on everything from bonsai D 84
on advancing your career D 83
on returning from oxford D 82
on capitol hill toward D 82
on capitol hill itself D 82
on vacation from reality D 80
on alcohol when carrying D 80
on targets deep inside D 52
on rapidly rising ground D 44
on expanding their empire D 40
