possessed superiority in numbers M 96
political boundaries in foreign D 94
political authorities to provide D 94
political aspirations of millions D 94
political unification in western D 93
positioned accurately in relation D 92
political scientists to question D 92
political difficulty of achieving D 92
political atmosphere in general D 92
political aspirations of national D 92
political liberalism in general D 91
population determined to abandon D 90
political strategies to increase D 90
political philosophy to provide D 90
political philosophy in ancient D 90
political mechanisms to achieve D 90
political instrument in foreign D 90
political experience of members D 90
political experience as members D 90
political commitment to protect D 90
political boundaries to include D 90
political activities of national D 90
political activities of mankind D 90
political unification of central D 88
political structures to support D 88
political discontent on private D 88
political authorities in general D 87
possessor understood the purport D 86
political strategies in relation D 86
political management of illegal D 86
political management of affairs D 86
political activities to include D 86
political experience in general D 85
possesses emphasizes an implied D 84
political commitment to national D 84
political sentiments in general D 83
political strategies to protect D 82
political importance of farmers D 82
political foundations of western D 81
popularly understood to include D 80
political strategies to counter D 80
political scientists to produce D 80
political commitment to providing D 80
political activities in addition D 80
political experience of western D 63
political principles of western D 57
potassium deficiency is present D 56
political activities of catholic D 52
population approaches the maximum D 43
