all whole burnt offerings M 2396
all times fully advised M 142
all times exist between M 140
all tasks which require M 140
all white people because M 138
all others which involve M 138
all legal cases involving M 138
all about thirty persons M 138
all cases arising outside M 137
all solid state devices M 136
all ships which entered M 134
all short story writers M 132
all lines which circles M 132
all cases where certain M 132
all state power carries M 131
all sides until lightly M 130
all times shown himself M 126
all takes place according M 126
all people shall receive M 126
all night sleep studies M 126
all alike stood equally M 126
all others which concern M 125
all power which resists M 124
all cells which contain M 124
all cells share certain M 124
all state civil service M 122
all stand close together M 122
all cases where congress M 122
all cases where animals M 122
all really looking forward M 120
all lines which contain M 120
all cases where members M 120
all makes sense because M 118
all locks which withhold M 118
all coast guard vessels M 116
all state action affecting M 114
all people could benefit M 114
all could share equally M 114
all working class parties M 112
all keeping close together M 112
all cases where extreme M 112
all sorts taken together M 110
all growing close together M 110
all cases where counsel M 110
all power which mortals M 108
all poetry tends towards M 108
all plant cells contain M 108
all people could achieve M 108
all force grows stronger M 108
all women share certain M 106
all whose names appeared M 106
all under civil service M 106
all truths agree together M 106
all cases which exhibit M 106
all about money matters M 106
all women share similar M 104
all takes place against M 102
all rocks which contain M 102
all night again tonight M 102
all major asset classes M 102
all happy human society M 102
all blood cells develop M 102
all about keeping secrets M 102
all white people together M 100
all thinking which demands M 100
all still lived together M 100
all known growth factors M 100
all parts which require M 98
all cases where letters M 98
all white women workers M 96
all might share equally M 96
all labor force members M 96
all cases where numbers M 96
all named after members M 95
all whose sweet delight M 94
all plant parts including M 94
all items which require M 94
all human action depends M 94
all cases where present M 94
all cases where material M 94
all cases shall include M 94
all about putting together M 94
all words which involve M 92
all plant parts contain M 92
all others which resists M 92
all night putting together M 92
all dialog boxes contain M 92
all thinking about language M 90
all others whose friends M 90
all within thirty seconds M 88
all known plant viruses M 88
all given names beginning M 88
all could unite against M 88
all cases where organic M 88
all times brave spirits M 86
all small blood vessels M 86
all cases where figures M 86
all about seven minutes M 86
all right about everything M 84
all others which brought M 84
all known human history M 84
all cases where process M 84
all agree about everything M 84
all which small matters M 82
all round which objects M 82
all lands which congress M 82
all girls under sixteen M 82
all about thirty species M 82
all focus group members M 80
all cases where marriage M 80
all right again because M 54
all births occur outside M 46
all major organ systems D 1502
all white males between D 1280
all costs taxed against D 1040
all trading rules enacted D 880
all amino acids contain D 824
all major urban centers D 702
all firms taken together D 612
all major league players D 566
all major urban centres D 546
all times either indoors D 518
all crops taken together D 488
all cases where foreign D 481
all civil suits between D 466
all would share equally D 440
all races shall receive D 432
all human social behavior D 350
all kinds which inhabit D 334
all fatal motor vehicle D 334
all foods which contain D 325
all banks taken together D 290
all major world markets D 280
all human social systems D 278
all plant foods contain D 273
all large urban centers D 262
all senior staff members D 256
all males above sixteen D 256
all nursing staff members D 254
all adult males between D 242
all words which express D 233
all which deadly charges D 224
all major stock markets D 224
all civil suits involving D 224
all large bowel cancers D 222
all named after flowers D 220
all black males between D 210
all night telling stories D 204
all human skill baffled D 198
all unbid suits stopped D 186
all twining wreaths together D 186
all races working together D 186
all gases under similar D 184
all women would benefit D 182
all court cases involving D 182
all first grade teachers D 180
all amino acids present D 180
all sides until browned D 178
all cases pending against D 178
all party penal affairs D 176
all people would benefit D 172
all kinds taken together D 172
all civil suits brought D 172
all state court systems D 166
all known social systems D 164
all farms taken together D 164
all grade point average D 163
all taxes taken together D 161
all added fresh subject D 160
all which would require D 152
all others would require D 152
all cases where medical D 152
all child abuse reports D 149
all known facts regarding D 148
all augur social strains D 143
all would gather together D 139
all about human behavior D 136
all major weapon systems D 134
all kinds mixed together D 134
all fifty state ballots D 134
all faces burning steadily D 132
all would blend together D 130
all votes count equally D 130
all stock index futures D 130
all weather bureau stations D 128
all ships sailing between D 128
all pending cases against D 128
all sizes mixed together D 126
all dance round haunted D 126
all began talking together D 122
all people would believe D 118
all large urban centres D 116
all which names signify D 114
all cases where patents D 114
all which would justify D 112
all people could furnish D 112
all local labor markets D 112
all civil cases warrant D 112
all adult males present D 112
all urban social classes D 110
all lower chord members D 110
all crowd thither together D 110
all tales about fairies D 108
all major social classes D 108
all cases where previous D 108
all terms which express D 104
all about forty players D 104
all which odious charges D 102
all sharp edges removed D 102
all negro women workers D 102
all healthy people economy D 102
all gotta stick together D 102
all ethnic group members D 102
all major state offices D 100
all loyal party members D 98
all cases would require D 98
all bills raising revenue D 98
all civil suits against D 96
all cases filed against D 96
all people would receive D 92
all night light breezes D 92
all alone comes venturing D 92
all would stand together D 90
all races lived together D 90
all people would respond D 90
all would unite together D 88
all upper chord members D 88
all suits pending against D 88
all social charm because D 88
all cases where federal D 86
all round about napoleon D 84
all healthy males between D 84
all adult males including D 84
all small furry animals D 82
all sides would benefit D 82
all prose truly poetical D 82
all minor league players D 82
all gases which contain D 82
all others would receive D 80
all others would embrace D 80
all fully would require D 80
all cases where national D 80
all pending batch updates D 56
all routing table entries D 54
all kinds which present D 49
all males above fifteen D 40
